,Rank,Name,Tm,Vote Pts,1st Place,Share,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,ERA+,Year
2,3,Matt Morris,STL,31.0,0.0,19%,4.1,22,8,0.733,3.16,34,34,0,2,1,0,216.1,218,86,76,13,54,3,185,13,1,5,909,1.257,137,2001
3,4,Jon Lieber,CHC,2.0,0.0,1%,3.9,20,6,0.769,3.8,34,34,0,5,1,0,232.1,226,104,98,25,41,4,148,7,1,4,958,1.149,109,2001
4,5,Roy Oswalt,HOU,1.0,0.0,1%,4.7,14,3,0.824,2.73,28,20,4,3,1,0,141.2,126,48,43,13,24,2,144,6,0,0,575,1.059,170,2001
0,1,Randy Johnson,ARI,160.0,32.0,100%,10.7,24,5,0.828,2.32,35,35,0,8,4,0,260.0,197,78,67,26,71,1,334,13,2,3,1035,1.031,195,2002
1,2,Curt Schilling,ARI,90.0,0.0,56%,8.6,23,7,0.767,3.23,36,35,0,5,1,0,259.1,218,95,93,29,33,1,316,3,0,6,1017,0.968,140,2002
2,3,John Smoltz,ATL,21.0,0.0,13%,1.2,3,2,0.6,3.25,75,0,68,0,0,55,80.1,59,30,29,4,24,1,85,0,1,1,314,1.033,128,2002
3,4,Eric Gagne,LAD,8.0,0.0,5%,2.9,4,1,0.8,1.97,77,0,68,0,0,52,82.1,55,18,18,6,16,4,114,2,0,1,314,0.862,193,2002
4,4,Roy Oswalt,HOU,8.0,0.0,5%,7.0,19,9,0.679,3.01,35,34,0,0,0,0,233.0,215,86,78,17,62,4,208,5,0,3,956,1.189,144,2002
5,6,Bartolo Colon,MON,1.0,0.0,1%,2.4,10,4,0.714,3.31,17,17,0,4,1,0,117.0,115,48,43,9,39,4,74,0,0,1,499,1.316,129,2002
0,1,Eric Gagne,LAD,146.0,28.0,91%,3.7,2,3,0.4,1.2,77,0,67,0,0,55,82.1,37,12,11,2,20,2,137,3,0,2,306,0.692,337,2003
1,2,Jason Schmidt,SFG,73.0,2.0,46%,6.7,17,5,0.773,2.34,29,29,0,5,3,0,207.2,152,56,54,14,46,1,208,5,1,7,819,0.953,180,2003
2,3,Mark Prior,CHC,60.0,2.0,38%,7.4,18,6,0.75,2.43,30,30,0,3,1,0,211.1,183,67,57,15,50,4,245,9,0,9,863,1.103,179,2003
3,4,Russ Ortiz,ATL,9.0,0.0,6%,2.2,21,7,0.75,3.81,34,34,0,1,1,0,212.1,177,101,90,17,102,7,149,4,0,5,912,1.314,113,2003
0,1,Roger Clemens,HOU,140.0,23.0,88%,5.4,18,4,0.818,2.98,33,33,0,0,0,0,214.1,169,76,71,15,79,5,218,6,0,5,878,1.157,145,2004
1,2,Randy Johnson,ARI,97.0,8.0,61%,8.4,16,14,0.533,2.6,35,35,0,4,2,0,245.2,177,88,71,18,44,1,290,10,1,3,964,0.9,176,2004
2,3,Roy Oswalt,HOU,19.0,1.0,12%,3.9,20,10,0.667,3.49,36,35,0,2,2,0,237.0,233,100,92,17,62,5,206,11,1,5,983,1.245,124,2004
3,4,Jason Schmidt,SFG,13.0,0.0,8%,6.8,18,7,0.72,3.2,32,32,0,4,3,0,225.0,165,84,80,18,77,3,251,3,1,7,907,1.076,136,2004
4,5,Carlos Zambrano,CHC,8.0,0.0,5%,6.6,16,8,0.667,2.75,31,31,0,1,1,0,209.2,174,73,64,14,81,4,188,20,2,6,887,1.216,160,2004
5,6,Carl Pavano,FLA,6.0,0.0,4%,5.3,18,8,0.692,3.0,31,31,0,2,2,0,222.1,212,80,74,16,49,13,139,11,3,2,909,1.174,137,2004
6,7,Eric Gagne,LAD,3.0,0.0,2%,2.3,7,3,0.7,2.19,70,0,59,0,0,45,82.1,53,24,20,5,22,3,114,5,0,2,326,0.911,188,2004
7,8,Brad Lidge,HOU,1.0,0.0,1%,3.8,6,5,0.545,1.9,80,0,44,0,0,29,94.2,57,21,20,8,30,5,157,6,1,3,369,0.919,228,2004
8,8,Ben Sheets,MIL,1.0,0.0,1%,7.2,12,14,0.462,2.7,34,34,0,5,0,0,237.0,201,85,71,25,32,1,264,4,1,8,937,0.983,162,2004
0,1,Chris Carpenter,STL,132.0,19.0,83%,5.8,21,5,0.808,2.83,33,33,0,7,4,0,241.2,204,82,76,18,51,0,213,3,0,5,953,1.055,150,2005
1,2,Dontrelle Willis,FLA,112.0,11.0,70%,7.3,22,10,0.688,2.63,34,34,0,7,5,0,236.1,213,79,69,11,55,3,170,8,1,2,960,1.134,152,2005
2,3,Roger Clemens,HOU,40.0,2.0,25%,7.8,13,8,0.619,1.87,32,32,0,1,0,0,211.1,151,51,44,11,62,5,185,3,1,3,838,1.008,226,2005
3,4,Roy Oswalt,HOU,2.0,0.0,1%,5.9,20,12,0.625,2.94,35,35,0,4,1,0,241.2,243,85,79,18,48,3,184,8,1,5,1002,1.204,144,2005
4,5,Chad Cordero,WSN,1.0,0.0,1%,2.0,2,4,0.333,1.82,74,0,62,0,0,47,74.1,55,24,15,9,17,2,61,2,0,0,300,0.969,225,2005
5,5,Andy Pettitte,HOU,1.0,0.0,1%,6.8,17,9,0.654,2.39,33,33,0,0,0,0,222.1,188,66,59,17,41,0,171,3,0,2,875,1.03,177,2005
0,1,Brandon Webb,ARI,103.0,15.0,64%,7.0,16,8,0.667,3.1,33,33,0,5,3,0,235.0,216,91,81,15,50,4,178,6,2,5,950,1.132,152,2006
1,2,Trevor Hoffman,SDP,77.0,12.0,48%,2.1,0,2,0.0,2.14,65,0,50,0,0,46,63.0,48,16,15,6,13,1,50,1,0,2,248,0.968,190,2006
2,3,Chris Carpenter,STL,63.0,2.0,39%,5.1,15,8,0.652,3.09,32,32,0,5,3,0,221.2,194,81,76,21,43,3,184,10,0,3,896,1.069,144,2006
3,4,Roy Oswalt,HOU,31.0,3.0,19%,5.9,15,8,0.652,2.98,33,32,1,2,0,0,220.2,220,76,73,18,38,4,166,6,1,1,896,1.169,150,2006
4,5,Carlos Zambrano,CHC,6.0,0.0,4%,5.3,16,7,0.696,3.41,33,33,0,0,0,0,214.0,162,91,81,20,115,4,210,9,1,9,917,1.294,136,2006
5,6,Billy Wagner,NYM,4.0,0.0,3%,2.2,3,2,0.6,2.24,70,0,59,0,0,40,72.1,59,22,18,7,21,1,94,4,0,2,297,1.106,196,2006
6,7,John Smoltz,ATL,3.0,0.0,2%,5.9,16,9,0.64,3.49,35,35,0,3,1,0,232.0,221,93,90,23,55,4,211,9,0,5,960,1.19,128,2006
7,8,Takashi Saito,LAD,1.0,0.0,1%,3.2,6,2,0.75,2.07,72,0,48,0,0,24,78.1,48,19,18,3,23,3,107,2,0,2,303,0.906,218,2006
0,1,Jake Peavy,SDP,160.0,32.0,100%,6.2,19,6,0.76,2.54,34,34,0,0,0,0,223.1,169,67,63,13,68,5,240,6,0,4,898,1.061,158,2007
1,2,Brandon Webb,ARI,94.0,0.0,59%,6.4,18,10,0.643,3.01,34,34,0,4,3,0,236.1,209,91,79,12,72,6,194,5,0,3,975,1.189,158,2007
2,3,Brad Penny,LAD,14.0,0.0,9%,5.9,16,4,0.8,3.03,33,33,0,0,0,0,208.0,199,75,70,9,73,2,135,5,0,6,865,1.308,147,2007
3,4,Aaron Harang,CIN,10.0,0.0,6%,6.0,16,6,0.727,3.73,34,34,0,2,1,0,231.2,213,100,96,28,52,3,218,8,1,12,948,1.144,124,2007
4,5,Carlos Zambrano,CHC,3.0,0.0,2%,3.4,18,13,0.581,3.95,34,34,0,1,0,0,216.1,187,100,95,23,101,4,177,14,0,3,925,1.331,117,2007
5,6,Cole Hamels,PHI,2.0,0.0,1%,4.1,15,5,0.75,3.39,28,28,0,2,0,0,183.1,163,72,69,25,43,4,177,3,0,5,743,1.124,135,2007
6,6,John Smoltz,ATL,2.0,0.0,1%,4.6,14,8,0.636,3.11,32,32,0,0,0,0,205.2,196,78,71,18,47,9,197,4,0,8,853,1.182,140,2007
7,6,Jose Valverde,ARI,2.0,0.0,1%,2.2,1,4,0.2,2.66,65,0,59,0,0,47,64.1,46,21,19,7,26,1,78,3,0,1,265,1.119,179,2007
8,9,Jeff Francis,COL,1.0,0.0,1%,3.9,17,9,0.654,4.22,34,34,0,1,1,0,215.1,234,103,101,25,63,7,165,7,1,1,922,1.379,114,2007
0,1,Tim Lincecum,SFG,137.0,23.0,86%,7.8,18,5,0.783,2.62,34,33,0,2,1,0,227.0,182,72,66,11,84,1,265,6,2,17,928,1.172,168,2008
1,2,Brandon Webb,ARI,73.0,4.0,46%,5.6,22,7,0.759,3.3,34,34,0,3,1,0,226.2,206,95,83,13,65,5,183,12,1,8,944,1.196,140,2008
2,3,Johan Santana,NYM,55.0,4.0,34%,7.1,16,7,0.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,1.148,166,2008
3,4,Brad Lidge,PHI,10.0,0.0,6%,2.4,2,0,1.0,1.95,72,0,61,0,0,41,69.1,50,17,15,2,35,4,92,1,0,5,292,1.226,224,2008
4,5,CC Sabathia,MIL,9.0,1.0,6%,4.9,11,2,0.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,1.003,255,2008
5,6,Ryan Dempster,CHC,4.0,0.0,3%,6.9,17,6,0.739,2.96,33,33,0,1,0,0,206.2,174,75,68,14,76,1,187,7,0,5,856,1.21,154,2008
0,1,Tim Lincecum,SFG,100.0,11.0,63%,7.4,15,7,0.682,2.48,32,32,0,4,2,0,225.1,168,69,62,10,68,2,261,6,0,11,905,1.047,171,2009
1,2,Chris Carpenter,STL,94.0,9.0,59%,6.5,17,4,0.81,2.24,28,28,0,3,1,0,192.2,156,49,48,7,38,1,144,7,0,1,750,1.007,182,2009
2,3,Adam Wainwright,STL,90.0,12.0,56%,6.3,19,8,0.704,2.63,34,34,0,1,0,0,233.0,216,75,68,17,66,1,212,3,0,7,970,1.21,155,2009
3,4,Javier Vazquez,ATL,3.0,0.0,2%,6.2,15,10,0.6,2.87,32,32,0,3,0,0,219.1,181,75,70,20,44,2,238,4,0,6,874,1.026,143,2009
4,5,Dan Haren,ARI,1.0,0.0,1%,6.5,14,10,0.583,3.14,33,33,0,3,1,0,229.1,192,83,80,27,38,2,223,4,0,13,909,1.003,142,2009
0,1,Roy Halladay,PHI,224.0,32.0,100%,8.5,21,10,0.677,2.44,33,33,0,9,4,0,250.2,231,74,68,24,30,1,219,6,1,5,993,1.041,167,2010
1,2,Adam Wainwright,STL,122.0,0.0,54%,6.2,20,11,0.645,2.42,33,33,0,5,2,0,230.1,186,68,62,15,56,2,213,4,0,2,910,1.051,160,2010
2,3,Ubaldo Jimenez,COL,90.0,0.0,40%,7.5,19,8,0.704,2.88,33,33,0,4,2,0,221.2,164,73,71,10,92,7,214,9,1,16,894,1.155,161,2010
3,4,Tim Hudson,ATL,39.0,0.0,17%,5.8,17,9,0.654,2.83,34,34,0,1,0,0,228.2,189,74,72,20,74,8,139,9,0,5,920,1.15,138,2010
4,5,Josh Johnson,FLA,34.0,0.0,15%,7.0,11,6,0.647,2.3,28,28,0,1,0,0,183.2,155,51,47,7,48,2,186,5,0,4,744,1.105,180,2010
5,6,Roy Oswalt,TOT,14.0,0.0,6%,6.0,13,13,0.5,2.76,33,32,0,2,2,0,211.2,162,70,65,19,55,2,193,5,1,2,837,1.025,145,2010
6,7,Brian Wilson,SFG,7.0,0.0,3%,2.8,3,3,0.5,1.81,70,0,59,0,0,48,74.2,62,16,15,3,26,5,93,1,0,0,311,1.179,217,2010
7,8,Heath Bell,SDP,4.0,0.0,2%,1.9,6,1,0.857,1.93,67,0,57,0,0,47,70.0,56,17,15,1,28,3,86,1,0,1,287,1.2,191,2010
8,8,Mat Latos,SDP,4.0,0.0,2%,3.2,14,10,0.583,2.92,31,31,0,1,1,0,184.2,150,63,60,16,50,3,189,2,1,5,748,1.083,126,2010
9,10,Tim Lincecum,SFG,2.0,0.0,1%,3.3,16,10,0.615,3.43,33,33,0,1,1,0,212.1,194,84,81,18,76,7,231,5,0,9,897,1.272,114,2010
10,10,Brett Myers,HOU,2.0,0.0,1%,4.9,14,8,0.636,3.14,33,33,0,2,0,0,223.2,212,88,78,20,66,3,180,3,0,2,936,1.243,126,2010
11,12,Bronson Arroyo,CIN,1.0,0.0,0%,2.4,17,10,0.63,3.88,33,33,0,2,0,0,215.2,188,95,93,29,59,5,121,6,1,1,880,1.145,105,2010
12,12,Matt Cain,SFG,1.0,0.0,0%,4.1,13,11,0.542,3.14,33,33,0,4,2,0,223.1,181,84,78,22,61,4,177,4,0,8,896,1.084,124,2010
0,1,Clayton Kershaw,LAD,207.0,27.0,92%,6.8,21,5,0.808,2.28,33,33,0,5,2,0,233.1,174,66,59,15,54,2,248,3,1,5,912,0.977,161,2011
1,2,Roy Halladay,PHI,133.0,4.0,59%,8.8,19,6,0.76,2.35,32,32,0,8,1,0,233.2,208,65,61,10,35,4,220,4,1,2,933,1.04,163,2011
2,3,Cliff Lee,PHI,90.0,0.0,40%,8.5,17,8,0.68,2.4,32,32,0,6,6,0,232.2,197,66,62,18,42,0,238,6,0,0,920,1.027,160,2011
